"x","cf"
 2.780639759E-16, 1.733445562E-02
 7.999999798E-04, 2.210226096E-02
 1.606264967E-03, 8.453056216E-03
 2.418837277E-03, 7.145578507E-03
 3.237759229E-03, 6.414931733E-03
 4.063073546E-03, 5.921870004E-03
 4.894822836E-03, 5.604430102E-03
 5.733050406E-03, 5.421307404E-03
 6.577799562E-03, 5.348429084E-03
 7.429112680E-03, 5.356695503E-03
 8.287033997E-03, 5.411066115E-03
 9.151606821E-03, 5.475889891E-03
 1.002287492E-02, 5.525326356E-03
 1.090088207E-02, 5.548391491E-03
 1.178567298E-02, 5.546303000E-03
 1.267729141E-02, 5.526176188E-03
 1.357578207E-02, 5.495743360E-03
 1.448118873E-02, 5.460792221E-03
 1.539355703E-02, 5.424764473E-03
 1.631293073E-02, 5.389327649E-03
 1.723935641E-02, 5.355077330E-03
 1.817287691E-02, 5.322056357E-03
 1.911354065E-02, 5.290064029E-03
 2.006139047E-02, 5.258828867E-03
 2.101647109E-02, 5.228104070E-03
 2.197883092E-02, 5.197707098E-03
 2.294851467E-02, 5.167539231E-03
 2.392556891E-02, 5.137575325E-03
 2.491003834E-02, 5.107839126E-03
 2.590196952E-02, 5.078388844E-03
 2.690140903E-02, 5.049298052E-03
 2.790840343E-02, 5.020638462E-03
 2.892299928E-02, 4.992466420E-03
 2.994524129E-02, 4.964829888E-03
 3.097517975E-02, 4.937765654E-03
 3.201285750E-02, 4.911297001E-03
 3.305832669E-02, 4.885429516E-03
 3.411163017E-02, 4.860162269E-03
 3.517281637E-02, 4.835492466E-03
 3.624192998E-02, 4.811411723E-03
 3.731902316E-02, 4.787907004E-03
 3.840414062E-02, 4.764956888E-03
 3.949733078E-02, 4.742539953E-03
 4.059864208E-02, 4.720638506E-03
 4.170811921E-02, 4.699236248E-03
 4.282581061E-02, 4.678315949E-03
 4.395176470E-02, 4.657857120E-03
 4.508602992E-02, 4.637836944E-03
 4.622865468E-02, 4.618235864E-03
 4.737968370E-02, 4.599036183E-03
 4.853916913E-02, 4.580225330E-03
 4.970715567E-02, 4.561790265E-03
 5.088369548E-02, 4.543716088E-03
 5.206883326E-02, 4.525986034E-03
 5.326262116E-02, 4.508584272E-03
 5.446510017E-02, 4.491494969E-03
 5.567632616E-02, 4.474706948E-03
 5.689634383E-02, 4.458210897E-03
 5.812519789E-02, 4.441998899E-03
 5.936294422E-02, 4.426060710E-03
 6.060962752E-02, 4.410386086E-03
 6.186529621E-02, 4.394965246E-03
 6.312999874E-02, 4.379786085E-03
 6.440377980E-02, 4.364837892E-03
 6.568669528E-02, 4.350111820E-03
 6.697878242E-02, 4.335603211E-03
 6.828010082E-02, 4.321306478E-03
 6.959069520E-02, 4.307215568E-03
 7.091061771E-02, 4.293323029E-03
 7.223990560E-02, 4.279622808E-03
 7.357861102E-02, 4.266108386E-03
 7.492678612E-02, 4.252774175E-03
 7.628447562E-02, 4.239612725E-03
 7.765173167E-02, 4.226614255E-03
 7.902859896E-02, 4.213768058E-03
 8.041512221E-02, 4.201062024E-03
 8.181135356E-02, 4.188482184E-03
 8.321733773E-02, 4.176015500E-03
 8.463312685E-02, 4.163653590E-03
 8.605875820E-02, 4.151393659E-03
 8.749429882E-02, 4.139234778E-03
 8.893977106E-02, 4.127177410E-03
 9.039524198E-02, 4.115222022E-03
 9.186074883E-02, 4.103368148E-03
 9.333634377E-02, 4.091613926E-03
 9.482206404E-02, 4.079958890E-03
 9.631796926E-02, 4.068403505E-03
 9.782408923E-02, 4.056948237E-03
 9.934049100E-02, 4.045591224E-03
 1.008672044E-01, 4.034331068E-03
 1.024042815E-01, 4.023165442E-03
 1.039517671E-01, 4.012092017E-03
 1.055097058E-01, 4.001109395E-03
 1.070781425E-01, 3.990216181E-03
 1.086571217E-01, 3.979408648E-03
 1.102466956E-01, 3.968685400E-03
 1.118469015E-01, 3.958041314E-03
 1.134577915E-01, 3.947474994E-03
 1.150793955E-01, 3.936985042E-03
 1.167117655E-01, 3.926570993E-03
 1.183549538E-01, 3.916230984E-03
 1.200089902E-01, 3.905963851E-03
 1.216739267E-01, 3.895767964E-03
 1.233498007E-01, 3.885641461E-03
 1.250366569E-01, 3.875582712E-03
 1.267345399E-01, 3.865589155E-03
 1.284434944E-01, 3.855659394E-03
 1.301635504E-01, 3.845790867E-03
 1.318947524E-01, 3.835981945E-03
 1.336371601E-01, 3.826229833E-03
 1.353907883E-01, 3.816531505E-03
 1.371556818E-01, 3.806886030E-03
 1.389319003E-01, 3.797292011E-03
 1.407194734E-01, 3.787748981E-03
 1.425184160E-01, 3.778254846E-03
 1.443288028E-01, 3.768808208E-03
 1.461506635E-01, 3.759407206E-03
 1.479840279E-01, 3.750050673E-03
 1.498289257E-01, 3.740737215E-03
 1.516854167E-01, 3.731464967E-03
 1.535535157E-01, 3.722232301E-03
 1.554332823E-01, 3.713037819E-03
 1.573247313E-01, 3.703879192E-03
 1.592279077E-01, 3.694753861E-03
 1.611428410E-01, 3.685658565E-03
 1.630695611E-01, 3.676591441E-03
 1.650081277E-01, 3.667551326E-03
 1.669585407E-01, 3.658537520E-03
 1.689208597E-01, 3.649548627E-03
 1.708951145E-01, 3.640583716E-03
 1.728813201E-01, 3.631640691E-03
 1.748795062E-01, 3.622717923E-03
 1.768897325E-01, 3.613813547E-03
 1.789119989E-01, 3.604925936E-03
 1.809463501E-01, 3.596053459E-03
 1.829928160E-01, 3.587193554E-03
 1.850514114E-01, 3.578344826E-03
 1.871221811E-01, 3.569504712E-03
 1.892051548E-01, 3.560669720E-03
 1.913003325E-01, 3.551837057E-03
 1.934077740E-01, 3.543005092E-03
 1.955274791E-01, 3.534172662E-03
 1.976594776E-01, 3.525338368E-03
 1.998037994E-01, 3.516500117E-03
 2.019604743E-01, 3.507656045E-03
 2.041295022E-01, 3.498803359E-03
 2.063109279E-01, 3.489939729E-03
 2.085047662E-01, 3.481062362E-03
 2.107110322E-01, 3.472168697E-03
 2.129297554E-01, 3.463256173E-03
 2.151609361E-01, 3.454322228E-03
 2.174046040E-01, 3.445363604E-03
 2.196607888E-01, 3.436376574E-03
 2.219294906E-01, 3.427356482E-03
 2.242107242E-01, 3.418300534E-03
 2.265045196E-01, 3.409206634E-03
 2.288108766E-01, 3.400072223E-03
 2.311298251E-01, 3.390894039E-03
 2.334613651E-01, 3.381668124E-03
 2.358054966E-01, 3.372390522E-03
 2.381622493E-01, 3.363057040E-03
 2.405316383E-01, 3.353663720E-03
 2.429136485E-01, 3.344205907E-03
 2.453083098E-01, 3.334678244E-03
 2.477156222E-01, 3.325075377E-03
 2.501356006E-01, 3.315390320E-03
 2.525682449E-01, 3.305616556E-03
 2.550135255E-01, 3.295748495E-03
 2.574715018E-01, 3.285781015E-03
 2.599421442E-01, 3.275707597E-03
 2.624254823E-01, 3.265521489E-03
 2.649214864E-01, 3.255214542E-03
 2.674301565E-01, 3.244778141E-03
 2.699515224E-01, 3.234202741E-03
 2.724855542E-01, 3.223478096E-03
 2.750322521E-01, 3.212591866E-03
 2.775916159E-01, 3.201530315E-03
 2.801636457E-01, 3.190280171E-03
 2.827483416E-01, 3.178828163E-03
 2.853456736E-01, 3.167159390E-03
 2.879556417E-01, 3.155256156E-03
 2.905782461E-01, 3.143097274E-03
 2.932134569E-01, 3.130656900E-03
 2.958613038E-01, 3.117903834E-03
 2.985217273E-01, 3.104799893E-03
 3.011947274E-01, 3.091301769E-03
 3.038803041E-01, 3.077375935E-03
 3.065784574E-01, 3.063013544E-03
 3.092890978E-01, 3.048221581E-03
 3.120122850E-01, 3.033009823E-03
 3.147479594E-01, 3.017389216E-03
 3.174961209E-01, 3.001372796E-03
 3.202567399E-01, 2.984977560E-03
 3.230297565E-01, 2.968224464E-03
 3.258152306E-01, 2.951135626E-03
 3.286130428E-01, 2.933731768E-03
 3.314232230E-01, 2.916040132E-03
 3.342457414E-01, 2.898113336E-03
 3.370805681E-01, 2.879982116E-03
 3.399276435E-01, 2.861646470E-03
 3.427869678E-01, 2.843143418E-03
 3.456584811E-01, 2.824505325E-03
 3.485421836E-01, 2.805812517E-03
 3.514380157E-01, 2.787161386E-03
 3.543459177E-01, 2.768514911E-03
 3.572659194E-01, 2.749842824E-03
 3.601979017E-01, 2.731281333E-03
 3.631418645E-01, 2.712989924E-03
 3.660977483E-01, 2.694903640E-03
 3.690654933E-01, 2.676921664E-03
 3.720450699E-01, 2.659336431E-03
 3.750364482E-01, 2.642268548E-03
 3.780395389E-01, 2.625395078E-03
 3.810542822E-01, 2.609040588E-03
 3.840806186E-01, 2.593382960E-03
 3.871185184E-01, 2.578093670E-03
 3.901678622E-01, 2.563552465E-03
 3.932286203E-01, 2.549636178E-03
 3.963007331E-01, 2.536421642E-03
 3.993840814E-01, 2.524211071E-03
 4.024785757E-01, 2.512662206E-03
 4.055841863E-01, 2.502041170E-03
 4.087007940E-01, 2.492378466E-03
 4.118283093E-01, 2.483680379E-03
 4.149666429E-01, 2.476063091E-03
 4.181156456E-01, 2.469484927E-03
 4.212752879E-01, 2.464086749E-03
 4.244453907E-01, 2.459801733E-03
 4.276258647E-01, 2.456787974E-03
 4.308166206E-01, 2.454962116E-03
 4.340174794E-01, 2.454458736E-03
 4.372283220E-01, 2.455329988E-03
 4.404490292E-01, 2.457440598E-03
 4.436794519E-01, 2.461186145E-03
 4.469194710E-01, 2.466105390E-03
 4.501688778E-01, 2.472523367E-03
 4.534275532E-01, 2.480560914E-03
 4.566953778E-01, 2.489845036E-03
 4.599721134E-01, 2.501020906E-03
 4.632576406E-01, 2.513509709E-03
 4.665518105E-01, 2.527423203E-03
 4.698544145E-01, 2.543465234E-03
 4.731652737E-01, 2.560752444E-03
 4.764842689E-01, 2.579489956E-03
 4.798111618E-01, 2.600391628E-03
 4.831458032E-01, 2.622797154E-03
 4.864880145E-01, 2.646499779E-03
 4.898376465E-01, 2.672233619E-03
 4.931944907E-01, 2.699964913E-03
 4.965583980E-01, 2.728983294E-03
 4.999292195E-01, 2.759580500E-03
 5.033067465E-01, 2.792338375E-03
 5.066908002E-01, 2.826916752E-03
 5.100812912E-01, 2.862906782E-03
 5.134780407E-01, 2.900459338E-03
 5.168808699E-01, 2.940084552E-03
 5.202897191E-01, 2.981761005E-03
 5.237043500E-01, 3.024861449E-03
 5.271247625E-01, 3.069485771E-03
 5.305507779E-01, 3.115869360E-03
 5.339823365E-01, 3.164212452E-03
 5.374191999E-01, 3.214513185E-03
 5.408614874E-01, 3.266251879E-03
 5.443089604E-01, 3.319507930E-03
 5.477616787E-01, 3.374472959E-03
 5.512195230E-01, 3.431069665E-03
 5.546824932E-01, 3.489460098E-03
 5.581504703E-01, 3.549575806E-03
 5.616235137E-01, 3.611069638E-03
 5.651015639E-01, 3.673978848E-03
 5.685847402E-01, 3.738390049E-03
 5.720728636E-01, 3.804226406E-03
 5.755661130E-01, 3.871442750E-03
 5.790644884E-01, 3.939995077E-03
 5.825679898E-01, 4.009847064E-03
 5.860767365E-01, 4.080865998E-03
 5.895906687E-01, 4.152903799E-03
 5.931099653E-01, 4.225916229E-03
 5.966346264E-01, 4.299842287E-03
 6.001648307E-01, 4.374567885E-03
 6.037005186E-01, 4.449980333E-03
 6.072419286E-01, 4.525964614E-03
 6.107890606E-01, 4.602394067E-03
 6.143419743E-01, 4.679140169E-03
 6.179008484E-01, 4.756055772E-03
 6.214657426E-01, 4.832988139E-03
 6.250367761E-01, 4.909784999E-03
 6.286140084E-01, 4.986272659E-03
 6.321974993E-01, 5.062271375E-03
 6.357874274E-01, 5.137593951E-03
 6.393837333E-01, 5.212036893E-03
 6.429865360E-01, 5.285392981E-03
 6.465959549E-01, 5.357441958E-03
 6.502119303E-01, 5.427950993E-03
 6.538345814E-01, 5.496683531E-03
 6.574639082E-01, 5.563395564E-03
 6.610997915E-01, 5.627822597E-03
 6.647424102E-01, 5.689700600E-03
 6.683915854E-01, 5.748773459E-03
 6.720473170E-01, 5.804776680E-03
 6.757094860E-01, 5.857426208E-03
 6.793780923E-01, 5.906452890E-03
 6.830529571E-01, 5.951616447E-03
 6.867339015E-01, 5.992673337E-03
 6.904208660E-01, 6.029362790E-03
 6.941135526E-01, 6.061423570E-03
 6.978118420E-01, 6.088055205E-03
 7.015154362E-01, 6.109013222E-03
 7.052240968E-01, 6.124971900E-03
 7.089375854E-01, 6.135628093E-03
 7.126555443E-01, 6.140492391E-03
 7.163776159E-01, 6.139509380E-03
 7.201035023E-01, 6.132561713E-03
 7.238328457E-01, 6.119173020E-03
 7.275652289E-01, 6.098732352E-03
 7.313002348E-01, 6.071887445E-03
 7.350375056E-01, 6.039379165E-03
 7.387765050E-01, 6.000879686E-03
 7.425169349E-01, 5.956195761E-03
 7.462582588E-01, 5.905586760E-03
 7.500000000E-01, 5.848230328E-03
 7.537417412E-01, 5.784158129E-03
 7.574830651E-01, 5.715277977E-03
 7.612234950E-01, 5.641622934E-03
 7.649624944E-01, 5.562582985E-03
 7.686997652E-01, 5.478429142E-03
 7.724347711E-01, 5.388906691E-03
 7.761671543E-01, 5.293872207E-03
 7.798964977E-01, 5.194389261E-03
 7.836223841E-01, 5.091495812E-03
 7.873444557E-01, 4.985206295E-03
 7.910624146E-01, 4.875708837E-03
 7.947759032E-01, 4.763429053E-03
 7.984845638E-01, 4.648808390E-03
 8.021881580E-01, 4.531871993E-03
 8.058864474E-01, 4.412866198E-03
 8.095791340E-01, 4.292877857E-03
 8.132660985E-01, 4.172187299E-03
 8.169470429E-01, 4.050666001E-03
 8.206219077E-01, 3.928731661E-03
 8.242905140E-01, 3.806982888E-03
 8.279526830E-01, 3.686023643E-03
 8.316084146E-01, 3.566273488E-03
 8.352575898E-01, 3.448034870E-03
 8.389002085E-01, 3.331565997E-03
 8.425360918E-01, 3.217113437E-03
 8.461654186E-01, 3.104904201E-03
 8.497880697E-01, 2.995151095E-03
 8.534040451E-01, 2.888053656E-03
 8.570134640E-01, 2.783784876E-03
 8.606162667E-01, 2.682498191E-03
 8.642125726E-01, 2.584335161E-03
 8.678025007E-01, 2.489417559E-03
 8.713859916E-01, 2.397845965E-03
 8.749632239E-01, 2.309707692E-03
 8.785342574E-01, 2.225074451E-03
 8.820991516E-01, 2.143997233E-03
 8.856580257E-01, 2.066512359E-03
 8.892109394E-01, 1.992644276E-03
 8.927580714E-01, 1.922398456E-03
 8.962994814E-01, 1.855768729E-03
 8.998351693E-01, 1.792735304E-03
 9.033653736E-01, 1.733266632E-03
 9.068900347E-01, 1.677322900E-03
 9.104093313E-01, 1.624853001E-03
 9.139232635E-01, 1.575786853E-03
 9.174320102E-01, 1.530070789E-03
 9.209355116E-01, 1.487666275E-03
 9.244338870E-01, 1.448465395E-03
 9.279271364E-01, 1.412345446E-03
 9.314152598E-01, 1.379225869E-03
 9.348984361E-01, 1.349018072E-03
 9.383764863E-01, 1.321639167E-03
 9.418495297E-01, 1.296955161E-03
 9.453175068E-01, 1.274933806E-03
 9.487804770E-01, 1.255572308E-03
 9.522383213E-01, 1.238625147E-03
 9.556910396E-01, 1.223951578E-03
 9.591385126E-01, 1.211546944E-03
 9.625808001E-01, 1.201254898E-03
 9.660176635E-01, 1.193090691E-03
 9.694492221E-01, 1.187106478E-03
 9.728752375E-01, 1.182983513E-03
 9.762956500E-01, 1.180608990E-03
 9.797102809E-01, 1.179936226E-03
 9.831191301E-01, 1.181002706E-03
 9.865219593E-01, 1.183911110E-03
 9.899187088E-01, 1.188305556E-03
 9.933091998E-01, 1.194012701E-03
 9.966932535E-01, 1.201166306E-03
 1.000070810E+00, 1.209868351E-03
 1.003441572E+00, 1.219937229E-03
 1.006805539E+00, 1.231035683E-03
 1.010162354E+00, 1.243324368E-03
 1.013512015E+00, 1.257020398E-03
 1.016854167E+00, 1.271742396E-03
 1.020188808E+00, 1.287278370E-03
 1.023515701E+00, 1.303957775E-03
 1.026834726E+00, 1.321748947E-03
 1.030145645E+00, 1.340152114E-03
 1.033448219E+00, 1.359425019E-03
 1.036742330E+00, 1.379753230E-03
 1.040027857E+00, 1.400538837E-03
 1.043304682E+00, 1.422055997E-03
 1.046572447E+00, 1.444374793E-03
 1.049831152E+00, 1.467068330E-03
 1.053080559E+00, 1.490455004E-03
 1.056320548E+00, 1.514249598E-03
 1.059551001E+00, 1.538429759E-03
 1.062771678E+00, 1.563154743E-03
 1.065982580E+00, 1.588075887E-03
 1.069183350E+00, 1.613357221E-03
 1.072374105E+00, 1.638846239E-03
 1.075554609E+00, 1.664502430E-03
 1.078724742E+00, 1.690337085E-03
 1.081884384E+00, 1.716224710E-03
 1.085033417E+00, 1.742177876E-03
 1.088171721E+00, 1.768034650E-03
 1.091299176E+00, 1.793756266E-03
 1.094415784E+00, 1.819200115E-03
 1.097521424E+00, 1.844382496E-03
 1.100615978E+00, 1.869263477E-03
 1.103699327E+00, 1.893809531E-03
 1.106771350E+00, 1.918175374E-03
 1.109832168E+00, 1.942068804E-03
 1.112881541E+00, 1.965607284E-03
 1.115919352E+00, 1.988780685E-03
 1.118945718E+00, 2.011436503E-03
 1.121960521E+00, 2.033787314E-03
 1.124963522E+00, 2.055552322E-03
 1.127954960E+00, 2.076760400E-03
 1.130934477E+00, 2.097596182E-03
 1.133902311E+00, 2.117804484E-03
 1.136858106E+00, 2.137375996E-03
 1.139802098E+00, 2.156459726E-03
 1.142734051E+00, 2.174969995E-03
 1.145654082E+00, 2.192805754E-03
 1.148561954E+00, 2.210009377E-03
 1.151457787E+00, 2.226646058E-03
 1.154341459E+00, 2.242678078E-03
 1.157212973E+00, 2.258040244E-03
 1.160072327E+00, 2.272754675E-03
 1.162919402E+00, 2.286849078E-03
 1.165754199E+00, 2.300330438E-03
 1.168576717E+00, 2.313213889E-03
 1.171386957E+00, 2.325486392E-03
 1.174184799E+00, 2.337153070E-03
 1.176970243E+00, 2.348238602E-03
 1.179743290E+00, 2.358760452E-03
 1.182503939E+00, 2.368737478E-03
 1.185252070E+00, 2.378192497E-03
 1.187987685E+00, 2.387149725E-03
 1.190710902E+00, 2.395636635E-03
 1.193421602E+00, 2.403684659E-03
 1.196119666E+00, 2.411328955E-03
 1.198805213E+00, 2.418610035E-03
 1.201478243E+00, 2.425573766E-03
 1.204138756E+00, 2.432258567E-03
 1.206786513E+00, 2.438686788E-03
 1.209421754E+00, 2.444870770E-03
 1.212044358E+00, 2.450821921E-03
 1.214654326E+00, 2.456551651E-03
 1.217251658E+00, 2.462070202E-03
 1.219836354E+00, 2.467387356E-03
 1.222408414E+00, 2.472512657E-03
 1.224967718E+00, 2.477455186E-03
 1.227514505E+00, 2.482223557E-03
 1.230048537E+00, 2.486826153E-03
 1.232569814E+00, 2.491270425E-03
 1.235078573E+00, 2.495564055E-03
 1.237574458E+00, 2.499713795E-03
 1.240057826E+00, 2.503725933E-03
 1.242528439E+00, 2.507606521E-03
 1.244986415E+00, 2.511361381E-03
 1.247431755E+00, 2.514995867E-03
 1.249864459E+00, 2.518515335E-03
 1.252284408E+00, 2.521924209E-03
 1.254691720E+00, 2.525226912E-03
 1.257086396E+00, 2.528428100E-03
 1.259468317E+00, 2.531531965E-03
 1.261837721E+00, 2.534542000E-03
 1.264194489E+00, 2.537461929E-03
 1.266538620E+00, 2.540295478E-03
 1.268870234E+00, 2.543045441E-03
 1.271189094E+00, 2.545715543E-03
 1.273495436E+00, 2.548308112E-03
 1.275789261E+00, 2.550826175E-03
 1.278070450E+00, 2.553272527E-03
 1.280339241E+00, 2.555649728E-03
 1.282595396E+00, 2.557960572E-03
 1.284839034E+00, 2.560207620E-03
 1.287070274E+00, 2.562392969E-03
 1.289288998E+00, 2.564519178E-03
 1.291495204E+00, 2.566587878E-03
 1.293689013E+00, 2.568601398E-03
 1.295870543E+00, 2.570561366E-03
 1.298039556E+00, 2.572469879E-03
 1.300196171E+00, 2.574328799E-03
 1.302340508E+00, 2.576139523E-03
 1.304472566E+00, 2.577903681E-03
 1.306592226E+00, 2.579623135E-03
 1.308699608E+00, 2.581299283E-03
 1.310794830E+00, 2.582933288E-03
 1.312877774E+00, 2.584527014E-03
 1.314948559E+00, 2.586081391E-03
 1.317007184E+00, 2.587597817E-03
 1.319053650E+00, 2.589077456E-03
 1.321087956E+00, 2.590521006E-03
 1.323110223E+00, 2.591930330E-03
 1.325120449E+00, 2.593305893E-03
 1.327118635E+00, 2.594649559E-03
 1.329104900E+00, 2.595961792E-03
 1.331079125E+00, 2.597244224E-03
 1.333041430E+00, 2.598497318E-03
 1.334991932E+00, 2.599722240E-03
 1.336930394E+00, 2.600919688E-03
 1.338857174E+00, 2.602090826E-03
 1.340772152E+00, 2.603236353E-03
 1.342675328E+00, 2.604356967E-03
 1.344566703E+00, 2.605453599E-03
 1.346446514E+00, 2.606526949E-03
 1.348314643E+00, 2.607577713E-03
 1.350171089E+00, 2.608606592E-03
 1.352015972E+00, 2.609614283E-03
 1.353849292E+00, 2.610601485E-03
 1.355671167E+00, 2.611568896E-03
 1.357481599E+00, 2.612516750E-03
 1.359280586E+00, 2.613446210E-03
 1.361068130E+00, 2.614357742E-03
 1.362844348E+00, 2.615251578E-03
 1.364609241E+00, 2.616128651E-03
 1.366362810E+00, 2.616989426E-03
 1.368105292E+00, 2.617834136E-03
 1.369836450E+00, 2.618663711E-03
 1.371556520E+00, 2.619478386E-03
 1.373265505E+00, 2.620278625E-03
 1.374963284E+00, 2.621065127E-03
 1.376650214E+00, 2.621838124E-03
 1.378326058E+00, 2.622598084E-03
 1.379991055E+00, 2.623345470E-03
 1.381645083E+00, 2.624080749E-03
 1.383288264E+00, 2.624804154E-03
 1.384920597E+00, 2.625516150E-03
 1.386542201E+00, 2.626217203E-03
 1.388153076E+00, 2.626907546E-03
 1.389753342E+00, 2.627587877E-03
 1.391342878E+00, 2.628258197E-03
 1.392921805E+00, 2.628919203E-03
 1.394490242E+00, 2.629571129E-03
 1.396048188E+00, 2.630214440E-03
 1.397595763E+00, 2.630849369E-03
 1.399132848E+00, 2.631476382E-03
 1.400659561E+00, 2.632095711E-03
 1.402175903E+00, 2.632707823E-03
 1.403681993E+00, 2.633312950E-03
 1.405177951E+00, 2.633911092E-03
 1.406663656E+00, 2.634503180E-03
 1.408139229E+00, 2.635088982E-03
 1.409604788E+00, 2.635669196E-03
 1.411060214E+00, 2.636243589E-03
 1.412505746E+00, 2.636813093E-03
 1.413941264E+00, 2.637377707E-03
 1.415366888E+00, 2.637937432E-03
 1.416782618E+00, 2.638493199E-03
 1.418188691E+00, 2.639044775E-03
 1.419584870E+00, 2.639592625E-03
 1.420971394E+00, 2.640137216E-03
 1.422348261E+00, 2.640678547E-03
 1.423715472E+00, 2.641216852E-03
 1.425073266E+00, 2.641752595E-03
 1.426421404E+00, 2.642286243E-03
 1.427760124E+00, 2.642817795E-03
 1.429089427E+00, 2.643347718E-03
 1.430409312E+00, 2.643876476E-03
 1.431719899E+00, 2.644404070E-03
 1.433021188E+00, 2.644930733E-03
 1.434313297E+00, 2.645457396E-03
 1.435596228E+00, 2.645983594E-03
 1.436869979E+00, 2.646510256E-03
 1.438134670E+00, 2.647037385E-03
 1.439390421E+00, 2.647565678E-03
 1.440637112E+00, 2.648094902E-03
 1.441874743E+00, 2.648625989E-03
 1.443103671E+00, 2.649158938E-03
 1.444323659E+00, 2.649694216E-03
 1.445534945E+00, 2.650232520E-03
 1.446737409E+00, 2.650773851E-03
 1.447931170E+00, 2.651318908E-03
 1.449116349E+00, 2.651868155E-03
 1.450292826E+00, 2.652422059E-03
 1.451460838E+00, 2.652980853E-03
 1.452620268E+00, 2.653545467E-03
 1.453771353E+00, 2.654116135E-03
 1.454913974E+00, 2.654693555E-03
 1.456048250E+00, 2.655278426E-03
 1.457174182E+00, 2.655871445E-03
 1.458291888E+00, 2.656473313E-03
 1.459401369E+00, 2.657084726E-03
 1.460502625E+00, 2.657706616E-03
 1.461595893E+00, 2.658339683E-03
 1.462680936E+00, 2.658985090E-03
 1.463758111E+00, 2.659644000E-03
 1.464827180E+00, 2.660317114E-03
 1.465888381E+00, 2.661006292E-03
 1.466941714E+00, 2.661712468E-03
 1.467987180E+00, 2.662437502E-03
 1.469024777E+00, 2.663182793E-03
 1.470054746E+00, 2.663950436E-03
 1.471076965E+00, 2.664742526E-03
 1.472091556E+00, 2.665561158E-03
 1.473098636E+00, 2.666409360E-03
 1.474098086E+00, 2.667289926E-03
 1.475089908E+00, 2.668206114E-03
 1.476074457E+00, 2.669161884E-03
 1.477051497E+00, 2.670161659E-03
 1.478021145E+00, 2.671210561E-03
 1.478983521E+00, 2.672314178E-03
 1.479938626E+00, 2.673479728E-03
 1.480886459E+00, 2.674714895E-03
 1.481827140E+00, 2.676029922E-03
 1.482760668E+00, 2.677436685E-03
 1.483687043E+00, 2.678948920E-03
 1.484606385E+00, 2.680581762E-03
 1.485518813E+00, 2.682350343E-03
 1.486424208E+00, 2.684269333E-03
 1.487322688E+00, 2.686356660E-03
 1.488214374E+00, 2.688647714E-03
 1.489099145E+00, 2.691224450E-03
 1.489977121E+00, 2.694258699E-03
 1.490848422E+00, 2.698039869E-03
 1.491712928E+00, 2.702926053E-03
 1.492570877E+00, 2.709108638E-03
 1.493422151E+00, 2.716071438E-03
 1.494266987E+00, 2.721634228E-03
 1.495105147E+00, 2.720715245E-03
 1.495936871E+00, 2.704026876E-03
 1.496762276E+00, 2.657855162E-03
 1.497581124E+00, 2.563976683E-03
 1.498393774E+00, 2.400619909E-03
 1.499199986E+00, 3.946877085E-03
 1.500000000E+00, 2.788441023E-03